Date,DayNum,StID,StName,Timestamp(ms),Trip,VehId,ac_power_kw,ac_power_w,accel,distance,elev_delta,elevation_m,heater_w,hv_current_a,hv_soc_percent,hv_voltage_v,lat,lon,motion_idx,prcp,soc_delta,speed,tmax,tmin
2018-08-24,295.527055593,USW00094847,Detroit,845700,2949,10,,250.0,0.04168317095034562,2.38450757479657,0.0,266,0.0,-63.333333333333336,99.26829528809999,382.5,42.2907902778,-83.7119272222,1276,0.0,0.0,61.1099967957,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,848800,2949,10,,250.0,0.04883614095339845,2.420811035812352,5.0,266,0.0,-29.857142857142858,99.26829528809999,384.5,42.2911644444,-83.71185222220001,1282,0.0,0.0,62.930000305200004,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,852200,2949,10,,250.0,0.055444245628422054,2.4541456928417302,-7.0,271,0.0,19.125,99.26829528809999,386.75,42.2915438889,-83.7120194444,1289,0.0,0.0,60.5499992371,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,855100,2949,10,,250.0,0.04358235845084162,2.6350611426634445,4.0,264,0.0,22.75,99.26829528809999,392.0,42.2919275,-83.7123125,1297,0.0,0.0,51.2099990845,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,858200,2949,10,,250.0,0.057775315341675626,2.4358034726443054,0.0,268,0.0,-30.357142857142858,99.26829528809999,389.42857142857144,42.2923408333,-83.71243777779999,1303,0.0,0.0,52.8899993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,861400,2949,10,,250.0,0.058540308677688724,2.286572626724232,4.0,268,0.0,2.0714285714285716,99.26829528809999,386.0,42.2927230556,-83.7123625,1310,0.0,0.0,42.75,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,864400,2949,10,,250.0,0.0621494327645628,1.5343584767047158,0.0,272,0.0,32.0,99.26829528809999,390.5833333333333,42.2930819444,-83.7123352778,1317,0.0,0.0,22.969999313400002,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,867800,2949,10,,250.0,0.08701611223793283,0.635565936287985,0.0,272,0.0,20.38888888888889,98.7804870605,391.0,42.2933227778,-83.7123283333,1323,0.0,-0.4878082275999986,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,872500,2949,10,,250.0,0.298321653956112,0.4565943015574913,0.0,272,0.0,-24.166666666666668,98.6585388184,389.1666666666667,42.2934225,-83.7123513889,1332,0.0,-0.12194824209998956,16.2299995422,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,874600,2949,10,,250.0,0.08864503164810772,0.570444675227927,0.0,272,0.0,-25.0,98.6585388184,389.0,42.2934941667,-83.7123483333,1338,0.0,0.0,16.5599994659,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,877600,2949,10,,250.0,0.09004125031156542,0.058597018435416426,0.0,272,0.0,-2.75,98.6585388184,389.1666666666667,42.293583611100004,-83.7123136111,1342,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,882800,2949,10,,250.0,0.4229063193205862,0.6533656230773209,0.0,272,0.0,-19.8125,98.6585388184,389.375,42.2935927778,-83.7123072222,1348,0.0,0.0,16.0699996948,80.1,59.0
